filename,speaker,pitch_level,resonance_level,weight_level,l1_distance,sentence,f0_mean,f0_min,f0_max,f0_std,f0_range,f1_mean,f2_mean,f3_mean,f4_mean,avg_formant,hnr,intensity_mean,jitter_local,shimmer_local
001_high_high_low_bluespot.wav,001,high,high,low,0,bluespot,260.18,209.14,333.51,27.07,124.37,538.26,1813.21,3029.91,4387.3,1793.79,19.0,70.57,1.1799,5.7702
001_high_high_low_howhard.wav,001,high,high,low,0,howhard,264.28,211.88,300.65,23.95,88.77,666.96,1883.67,2976.74,4179.59,1842.46,18.49,71.1,0.9453,5.8018
001_high_medium_low_bluespot.wav,001,high,medium,low,1,bluespot,185.13,148.05,231.73,16.94,83.68,572.54,1867.34,3103.16,4231.17,1847.68,18.24,69.27,1.8915,6.5651
001_high_medium_low_howhard.wav,001,high,medium,low,1,howhard,184.52,151.9,216.0,16.02,64.09,528.51,1726.02,2863.48,4033.45,1706.01,19.88,69.65,1.345,5.9316
001_low_low_high_bluespot.wav,001,low,low,high,6,bluespot,114.84,92.39,135.84,10.48,43.45,720.57,1911.44,2885.2,3613.81,1839.07,10.33,72.09,1.5656,12.9192
001_low_low_high_howhard.wav,001,low,low,high,6,howhard,113.0,91.2,131.63,9.02,40.43,591.32,1730.16,2726.89,3489.8,1682.79,11.09,73.09,1.8185,12.8857
001_low_low_medium_bluespot.wav,001,low,low,medium,5,bluespot,133.24,111.07,177.34,15.16,66.28,682.66,1979.16,2830.49,3606.54,1830.77,14.55,72.67,2.0749,8.1508
001_low_low_medium_howhard.wav,001,low,low,medium,5,howhard,142.78,109.02,341.02,41.96,232.0,704.53,1847.69,2736.62,3487.3,1762.95,14.34,73.37,2.3882,9.9182
001_low_medium_medium_bluespot.wav,001,low,medium,medium,4,bluespot,114.61,77.05,134.75,9.76,57.7,641.64,1951.92,3145.1,4145.77,1912.89,9.95,64.19,1.9448,9.7058
001_low_medium_medium_howhard.wav,001,low,medium,medium,4,howhard,115.78,101.59,135.66,7.4,34.07,669.4,1891.66,2922.54,3856.76,1827.86,9.78,64.3,1.9623,11.4267
001_medium_medium_low_bluespot.wav,001,medium,medium,low,2,bluespot,146.24,118.84,180.26,13.98,61.42,607.42,1921.05,3130.95,4315.95,1886.47,13.96,66.45,2.3623,8.6958
001_medium_medium_low_howhard.wav,001,medium,medium,low,2,howhard,144.82,123.55,171.59,10.36,48.04,653.25,1833.23,2863.75,4026.22,1783.41,12.37,66.19,1.8245,10.5172
001_medium_medium_medium_bluespot.wav,001,medium,medium,medium,3,bluespot,136.11,113.94,164.19,11.55,50.25,628.56,1893.71,3087.24,4222.04,1869.84,13.63,68.42,1.9311,8.8749
001_medium_medium_medium_howhard.wav,001,medium,medium,medium,3,howhard,135.71,115.73,161.53,11.31,45.79,621.72,1867.26,2808.2,3802.9,1765.72,13.09,68.93,2.1741,7.6315
002_high_high_low_bluespot.wav,002,high,high,low,0,bluespot,289.1,233.1,373.84,34.25,140.74,562.56,1782.37,2979.52,4098.64,1774.82,19.87,63.6,1.3096,6.9492
002_high_high_low_howhard.wav,002,high,high,low,0,howhard,282.12,98.3,429.24,54.62,330.95,573.5,1911.76,2913.7,4133.69,1799.65,16.58,60.76,2.6926,10.5039
002_high_medium_low_bluespot.wav,002,high,medium,low,1,bluespot,276.89,228.45,354.06,33.71,125.6,517.48,1769.3,3044.93,4063.28,1777.24,18.12,61.98,2.242,8.1318
002_high_medium_low_howhard.wav,002,high,medium,low,1,howhard,267.02,161.74,433.22,50.38,271.48,535.54,1838.9,3025.75,3963.02,1800.06,19.53,61.61,2.0608,6.7931
002_low_low_high_bluespot.wav,002,low,low,high,6,bluespot,121.16,92.76,162.07,14.4,69.31,522.23,1768.67,2823.43,3666.89,1704.78,17.88,72.44,1.5095,8.5541
002_low_low_high_howhard.wav,002,low,low,high,6,howhard,123.15,84.08,173.02,18.45,88.94,512.02,1718.5,2770.0,3484.01,1666.84,18.36,74.25,1.6057,8.3319
002_low_low_medium_bluespot.wav,002,low,low,medium,5,bluespot,138.61,113.38,191.17,18.08,77.79,539.73,1718.34,2902.31,3756.14,1720.13,17.12,65.21,1.8642,10.3172
002_low_low_medium_howhard.wav,002,low,low,medium,5,howhard,146.9,112.01,186.6,20.35,74.58,494.19,1802.7,2876.86,3711.24,1724.58,16.92,64.32,2.0833,7.6153
002_low_medium_medium_bluespot.wav,002,low,medium,medium,4,bluespot,128.49,110.55,167.83,9.18,57.28,501.43,1723.47,2757.31,3595.3,1660.74,17.68,66.6,1.5697,7.4461
002_low_medium_medium_howhard.wav,002,low,medium,medium,4,howhard,132.67,111.94,178.92,13.22,66.98,465.93,1756.82,2780.05,3710.93,1667.6,17.58,66.91,1.9164,7.3486
002_medium_medium_low_bluespot.wav,002,medium,medium,low,2,bluespot,195.4,163.83,322.25,31.33,158.41,480.43,1777.55,2970.64,3904.45,1742.87,17.59,63.82,2.1282,8.2307
002_medium_medium_low_howhard.wav,002,medium,medium,low,2,howhard,212.1,168.04,319.92,35.98,151.88,511.01,1799.36,2992.38,3848.48,1767.58,17.47,61.51,2.2761,9.367
002_medium_medium_medium_bluespot.wav,002,medium,medium,medium,3,bluespot,190.99,94.07,474.1,40.23,380.03,501.18,1695.8,2786.18,3684.53,1661.06,20.18,69.24,1.4121,7.2581
002_medium_medium_medium_howhard.wav,002,medium,medium,medium,3,howhard,205.33,76.88,567.15,56.83,490.27,483.28,1699.76,2821.54,3748.27,1668.19,19.69,69.14,1.6649,6.2131
003_high_high_low_bluespot.wav,003,high,high,low,0,bluespot,259.23,180.43,438.36,53.1,257.93,741.48,1914.76,3059.25,4164.01,1905.16,17.71,57.23,1.0949,5.1421
003_high_high_low_howhard.wav,003,high,high,low,0,howhard,284.29,208.47,441.21,63.71,232.74,645.05,1796.8,2870.26,3894.63,1770.71,18.47,57.58,1.5978,4.7602
003_high_medium_low_bluespot.wav,003,high,medium,low,1,bluespot,266.69,205.91,377.63,42.07,171.72,735.89,1947.55,3105.66,4280.21,1929.7,17.5,53.25,1.2021,5.4456
003_high_medium_low_howhard.wav,003,high,medium,low,1,howhard,273.48,216.0,408.68,46.16,192.68,654.82,1952.21,2997.71,4141.38,1868.25,19.03,54.83,1.2559,5.8931
003_low_low_high_bluespot.wav,003,low,low,high,6,bluespot,120.51,93.5,145.39,13.0,51.89,622.48,1742.5,2991.01,3892.49,1785.33,13.7,59.2,1.9921,7.002
003_low_low_high_howhard.wav,003,low,low,high,6,howhard,118.77,87.14,149.77,13.81,62.64,593.92,1854.38,2829.09,3676.83,1759.13,11.37,60.61,2.2782,9.6258
003_low_low_medium_bluespot.wav,003,low,low,medium,5,bluespot,153.43,116.86,188.38,16.49,71.53,727.65,2012.17,3061.49,3981.19,1933.77,14.79,58.85,1.5862,5.9421
003_low_low_medium_howhard.wav,003,low,low,medium,5,howhard,154.93,126.14,187.75,16.72,61.62,742.3,2103.92,3084.37,4052.53,1976.86,13.73,58.5,1.4133,7.313
003_low_medium_medium_bluespot.wav,003,low,medium,medium,4,bluespot,135.57,107.1,184.34,14.8,77.24,648.61,1946.18,3048.7,3913.31,1881.17,15.29,57.1,1.7133,7.513
003_low_medium_medium_howhard.wav,003,low,medium,medium,4,howhard,142.03,116.37,175.43,15.97,59.06,619.84,2000.41,3077.07,4057.39,1899.1,14.85,53.16,1.5809,7.5582
